id,origen,destino,distancia,tiempo_estimado,costo,velocidad_promedio,congestion,disponible,incidentes,tipo_via,nombre_via,carriles,sentido_unico,peaje,restricciones,geometria
89626707,268230525,7997515501,93.64119118684866,0.11236942942421839,0.0,30.0,baja,True,0,residencial,Calle 66,1.0,False,False,[],"[[-74.0629836, 4.6526275], [-74.063068, 4.6526703], [-74.063737, 4.6530087]]"
1013374832,268230525,265024857,151.23445819605453,0.18148134983526543,0.0,45.0,baja,True,0,terciaria,Calle 66,1.0,True,False,[],"[[-74.0629836, 4.6526275], [-74.0629457, 4.6526077], [-74.0622867, 4.6522642], [-74.0618214, 4.6520217], [-74.0617744, 4.6519972]]"
89626679,268230526,13617956758,83.11588825441994,0.09973906590530393,0.0,30.0,baja,True,0,residencial,Carrera 10,2.0,True,False,[],"[[-74.0608964, 4.6515381], [-74.0608832, 4.6515635], [-74.0606055, 4.6520991], [-74.0605837, 4.6521411], [-74.0605522, 4.6522022]]"
675560591#1,268230526,2313540150,50.405481446496694,0.06048657773579603,0.0,45.0,baja,True,0,terciaria,Calle 66,2.0,True,False,[],"[[-74.0608964, 4.6515381], [-74.0608589, 4.6515185], [-74.0604935, 4.6513278]]"
24677714,268231703,7989874563,234.08978804732072,0.28090774565678484,0.0,30.0,baja,True,0,residencial,Calle 70A,2.0,True,False,[],"[[-74.0579141, 4.6546053], [-74.0578789, 4.6545852], [-74.0574094, 4.6543172], [-74.0561336, 4.653589], [-74.0560812, 4.6535591]]"
1064124041#1,268231703,268231713,73.9630305272607,0.08875563663271283,0.0,30.0,baja,True,0,terciaria,Carrera 9,3.0,True,False,[],"[[-74.0579141, 4.6546053], [-74.0578969, 4.6546297], [-74.0576314, 4.6550264], [-74.0575431, 4.6551582]]"
24677717,268231713,9905016911,238.64763980511702,0.2863771677661404,0.0,30.0,baja,True,0,residencial,Calle 71,2.0,True,False,[],"[[-74.0575431, 4.6551582], [-74.0575848, 4.6551871], [-74.0584309, 4.6557724], [-74.0592604, 4.6563619], [-74.0593042, 4.6563931]]"
1064124041#2,268231713,13281957920,100.34966273482584,0.12041959528179101,0.0,30.0,baja,True,0,terciaria,Carrera 9,3.0,True,False,[],"[[-74.0575431, 4.6551582], [-74.0572045, 4.6556639], [-74.0571263, 4.6557805], [-74.0570787, 4.6558516], [-74.0570404, 4.6559088]]"
24677732,268231793,2807673252,117.15779029982525,0.14058934835979028,0.0,30.0,baja,True,0,residencial,Carrera 11A,2.0,False,False,[],
24677735,268231793,268231798,63.06265305225427,0.07567518366270512,0.0,30.0,baja,True,0,residencial,Diagonal 68,2.0,False,False,[],"[[-74.061416, 4.6546141], [-74.0615397, 4.6544883], [-74.0616608, 4.6544181], [-74.0617967, 4.6543828], [-74.0619082, 4.6543753]]"
89619164,268231793,13617956754,91.22505262053133,0.1094700631446376,0.0,30.0,baja,True,0,terciaria,Calle 69,2.0,True,False,[],"[[-74.061416, 4.6546141], [-74.0610528, 4.6542901], [-74.0609091, 4.654162], [-74.0608619, 4.6541199], [-74.0608029, 4.6540667]]"
914944179,268231795,268231809,51.80014561072186,0.06216017473286624,0.0,45.0,baja,True,0,terciaria,Avenida Carrera 13,2.0,True,False,[],
24677742,268231798,268231829,62.084508671810774,0.07450141040617292,0.0,30.0,baja,True,0,residencial,Carrera 12,2.0,False,False,[],
24677735#1,268231798,268231793,63.06265305225428,0.07567518366270513,0.0,30.0,baja,True,0,residencial,Diagonal 68,2.0,False,False,[],"[[-74.0619082, 4.6543753], [-74.0617967, 4.6543828], [-74.0616608, 4.6544181], [-74.0615397, 4.6544883], [-74.061416, 4.6546141]]"
1013808588,268231798,268231795,82.8632319544817,0.09943587834537805,0.0,30.0,baja,True,0,residencial,Diagonal 68,2.0,True,False,[],"[[-74.0619082, 4.6543753], [-74.0625576, 4.6545653], [-74.0626256, 4.6545852]]"
24677737,268231809,268231829,96.70121647052736,0.11604145976463283,0.0,30.0,baja,True,0,residencial,Calle 68,2.0,True,False,[],"[[-74.0627019, 4.6541256], [-74.0626437, 4.6541036], [-74.061886, 4.6538174]]"
89623635,268231809,13617956767,54.473760145925894,0.06536851217511107,0.0,45.0,baja,True,0,terciaria,Avenida Carrera 13,2.0,True,False,[],"[[-74.0627019, 4.6541256], [-74.0627589, 4.6537847], [-74.0627914, 4.6537331], [-74.0628354, 4.6536622]]"
914963954#1,268231810,13617956756,92.96508098590961,0.11155809718309154,0.0,50.0,baja,True,0,secundaria,Avenida Carrera 11,3.0,True,False,[],"[[-74.0610681, 4.6535093], [-74.0612757, 4.6530746], [-74.0613808, 4.6528531], [-74.0613991, 4.6528146], [-74.0614286, 4.6527544]]"
24677742#1,268231829,268231798,62.084508671810774,0.07450141040617292,0.0,30.0,baja,True,0,residencial,Carrera 12,2.0,False,False,[],
24677737#1,268231829,268231810,96.90497139649139,0.11628596567578967,0.0,30.0,baja,True,0,residencial,Calle 68,2.0,True,False,[],"[[-74.061886, 4.6538174], [-74.0611516, 4.65354], [-74.0610681, 4.6535093]]"
914963958,268231867,13281957908,138.47425216903306,0.16616910260283965,0.0,50.0,baja,True,0,secundaria,Avenida Calle 72,3.0,True,False,[],"[[-74.0598375, 4.6578245], [-74.05954, 4.6576211], [-74.0594636, 4.6575688], [-74.0594099, 4.6575321], [-74.0589155, 4.657194], [-74.0588579, 4.6571546], [-74.0588072, 4.65712]]"
24677745,268231899,2807673255,69.41671305732083,0.08330005566878501,0.0,30.0,baja,True,0,residencial,Calle 71,2.0,False,False,[],
24677748,268231899,268231867,122.626410276916,0.14715169233229922,0.0,30.0,baja,True,0,residencial,Carrera 12,2.0,True,False,[],"[[-74.060447, 4.6569041], [-74.0598628, 4.6577863], [-74.0598375, 4.6578245]]"
1009674517,268383664,255471027,60.670917164176394,0.07280510059701167,0.0,30.0,baja,True,0,residencial,Calle 63D,2.0,True,False,[],"[[-74.0688668, 4.6539836], [-74.0692928, 4.6540635], [-74.0693642, 4.6540763], [-74.0694049, 4.6540839]]"
1053475390,268383664,1041714613,107.65777117167372,0.12918932540600847,0.0,30.0,baja,True,0,terciaria,Carrera 19A,1.0,True,False,[],"[[-74.0688668, 4.6539836], [-74.0688758, 4.6539343], [-74.0689981, 4.6532584], [-74.0690312, 4.6530759], [-74.0690393, 4.6530308]]"
"[24715593, 28350804]",268383722,3510543813,150.42767975730638,0.18051321570876766,0.0,30.0,baja,True,0,residencial,Calle 76 Bis A,2.0,False,False,[],"[[-74.049055, 4.6559797], [-74.0490871, 4.6559947], [-74.0495389, 4.6562054], [-74.0498042, 4.6556636], [-74.0498503, 4.6555986], [-74.0499706, 4.6555306]]"
89619151,268383722,2822810518,163.91839597860337,0.19670207517432403,0.0,60.0,baja,True,0,primaria,Avenida Carrera 1,2.0,True,False,[],"[[-74.049055, 4.6559797], [-74.0495601, 4.6549702], [-74.0496688, 4.6547613], [-74.049717, 4.6546615]]"
38243480,269720678,441217487,138.8454457606673,0.16661453491280076,0.0,45.0,baja,True,0,terciaria,Diagonal 76,2.0,True,False,[],"[[-74.0500172, 4.657958], [-74.0501014, 4.6578666], [-74.0501748, 4.6577651], [-74.0502361, 4.6576558], [-74.0502843, 4.6575402], [-74.0503213, 4.6574199], [-74.0503335, 4.6572979], [-74.0503475, 4.6571735], [-74.050347, 4.6570484], [-74.050332, 4.6569241], [-74.0503027, 4.6568024]]"
344310234,269720678,4076489300,110.60039557723263,0.13272047469267914,0.0,30.0,baja,True,0,residencial,Carrera 3,2.0,False,False,[],"[[-74.0500172, 4.657958], [-74.0498245, 4.6581328], [-74.0493007, 4.6586501]]"
344856037,269720678,269720739,49.919694590961434,0.059903633509153724,0.0,30.0,baja,True,0,terciaria,Calle 77,2.0,False,False,[],"[[-74.0500172, 4.657958], [-74.0500544, 4.6579775], [-74.0500921, 4.657998], [-74.0501706, 4.6580436], [-74.0502481, 4.6580925], [-74.0503237, 4.6581443], [-74.0503977, 4.6581973]]"
344856037#1,269720739,269720678,49.91969459096143,0.05990363350915371,0.0,30.0,baja,True,0,terciaria,Calle 77,2.0,False,False,[],"[[-74.0503977, 4.6581973], [-74.0503237, 4.6581443], [-74.0502481, 4.6580925], [-74.0501706, 4.6580436], [-74.0500921, 4.657998], [-74.0500544, 4.6579775], [-74.0500172, 4.657958]]"
1010359865,269720739,269720740,15.261983500023891,0.018314380200028672,0.0,30.0,baja,True,0,terciaria,Calle 77,1.0,True,False,[],"[[-74.0503977, 4.6581973], [-74.0504284, 4.6582312], [-74.0504499, 4.6582716], [-74.0504614, 4.658316]]"
1123709324,269720740,309298977,67.13122359621656,0.08055746831545986,0.0,45.0,baja,True,0,terciaria,Carrera 4,2.0,True,False,[],"[[-74.0504614, 4.658316], [-74.0504517, 4.6584188], [-74.0504436, 4.6584785], [-74.0504265, 4.6585279], [-74.0503959, 4.6585798], [-74.0501716, 4.6588195]]"
