id,nombre,latitud,longitud,tipo,accesible
354855993,Nodo 354855993,4.6630542,-74.0649363,interseccion,True
354856189,Nodo 354856189,4.6634724,-74.0623723,interseccion,True
354856190,Nodo 354856190,4.6633084,-74.0637776,interseccion,True
354856250,Nodo 354856250,4.6671704,-74.0624685,interseccion,True
354856252,Nodo 354856252,4.6680119,-74.0638275,interseccion,True
354856271,Nodo 354856271,4.6668414,-74.0626866,interseccion,True
354856272,Nodo 354856272,4.6662229,-74.0617103,interseccion,True
354856338,Nodo 354856338,4.6657948,-74.061984,interseccion,True
354856340,Nodo 354856340,4.6641455,-74.0630397,interseccion,True
354856341,Nodo 354856341,4.6633919,-74.0635226,interseccion,True
354856368,Nodo 354856368,4.6653929,-74.0622409,interseccion,True
361323635,Nodo 361323635,4.671669,-74.0606558,interseccion,True
373293506,Nodo 373293506,4.6634315,-74.0619435,interseccion,True
373376108,Nodo 373376108,4.6562179,-74.0634086,interseccion,True
373376115,Nodo 373376115,4.656666,-74.0631316,interseccion,True
373376121,Nodo 373376121,4.6585061,-74.0628116,interseccion,True
373376129,Nodo 373376129,4.6598223,-74.0625827,interseccion,True
373376217,Nodo 373376217,4.6586102,-74.0642854,interseccion,True
373376219,Nodo 373376219,4.6590948,-74.0650837,interseccion,True
373376223,Nodo 373376223,4.6595759,-74.0658352,interseccion,True
373376286,Nodo 373376286,4.6594208,-74.0632565,interseccion,True
373376440,Nodo 373376440,4.6576929,-74.0648518,interseccion,True
373376512,Nodo 373376512,4.6579447,-74.0642068,interseccion,True
373376541,Nodo 373376541,4.6587958,-74.0636885,interseccion,True
373376601,Nodo 373376601,4.6587049,-74.0664146,interseccion,True
373376644,Nodo 373376644,4.6582248,-74.0656504,interseccion,True
373377101,Nodo 373377101,4.6574469,-74.0643386,interseccion,True
373377103,Nodo 373377103,4.6571037,-74.0637977,interseccion,True
373377289,Nodo 373377289,4.6560531,-74.0651735,interseccion,True
373377291,Nodo 373377291,4.656975,-74.0646286,interseccion,True
373377512,Nodo 373377512,4.657346,-74.0662087,interseccion,True
373377513,Nodo 373377513,4.6578476,-74.0669847,interseccion,True
373377848,Nodo 373377848,4.6583429,-74.0700182,interseccion,True
373377963,Nodo 373377963,4.6551424,-74.0664473,interseccion,True
375476085,Nodo 375476085,4.6700693,-74.0508956,interseccion,True
375478380,Nodo 375478380,4.6619373,-74.0633045,interseccion,True
375478832,Nodo 375478832,4.6633978,-74.0624175,interseccion,True
375480121,Nodo 375480121,4.6621473,-74.0657331,interseccion,True
377918731,Nodo 377918731,4.6642835,-74.0514117,interseccion,True
